fund,vintage_year,capital_committed,cash_in,cash_out,cash_out_&_remaining_value,net_irr,investment_multiple,source,scraped_date
"CDH Fund V, L.P.",2014,"$200,000,000","$229,896,804","$281,695,388","$337,553,652",8.1%,,CalPERS,2026-02-18
"CVC Capital Partners VI, L.P.",2014,"$567,092,581","$682,364,607","$932,055,371","$1,365,682,520",15.6%,,CalPERS,2026-02-18
"First Reserve Fund XIII, LP",2014,"$400,000,000","$480,612,243","$281,572,868","$444,235,970",-1.9%,,CalPERS,2026-02-18
"GCM Grosvenor DEM II, L.P.",2014,"$250,000,000","$269,170,506","$271,273,235","$465,928,457",14.7%,,CalPERS,2026-02-18
"Onex Partners IV, L.P.",2014,"$260,622,914","$329,577,280","$362,935,888","$457,484,519",6.9%,,CalPERS,2026-02-18
"Permira V, L.P.",2014,"$268,686,701","$273,142,099","$653,284,982","$769,560,101",20.7%,,CalPERS,2026-02-18
"Tailwind Capital Partners II, LP",2014,"$150,000,000","$166,309,208","$240,592,859","$242,191,985",9.4%,,CalPERS,2026-02-18
Trident VI,2014,"$250,000,000","$271,060,455","$649,392,920","$748,259,459",22.0%,,CalPERS,2026-02-18
Blackstone Tactical Opportunities Fund II - C L.P.,2015,"$500,000,000","$498,012,821","$656,958,766","$749,142,399",12.7%,,CalPERS,2026-02-18
Bridgepoint Europe III 'C' L.P.,2015,"$28,133,517","$16,760,648","$18,955,256","$19,992,773",4.2%,,CalPERS,2026-02-18
Bridgepoint Europe IV 'B' L.P.,2015,"$89,854,306","$67,960,669","$84,601,533","$95,037,707",12.0%,,CalPERS,2026-02-18
"Carlyle U.S. Equity Opportunities II, L.P.",2015,"$200,000,000","$222,684,320","$312,752,446","$414,224,969",15.5%,,CalPERS,2026-02-18
"Centerbridge Capital Partners III, L.P.",2015,"$150,000,000","$208,459,541","$232,072,261","$329,087,358",13.6%,,CalPERS,2026-02-18
"Clearlake Capital Partners IV, L.P.",2015,"$56,700,000","$89,141,513","$148,332,960","$181,219,500",27.5%,,CalPERS,2026-02-18
"Clearlake Opportunities Partners (P), L.P.",2015,"$56,700,000","$84,739,312","$64,168,643","$109,952,262",7.5%,,CalPERS,2026-02-18
"Insight Venture Partners Growth-Buyout Coinvestment Fund (B), L.P.",2015,"$400,000,000","$433,400,000","$950,221,432","$1,507,904,393",25.8%,,CalPERS,2026-02-18
"Insight Venture Partners IX, L.P.",2015,"$100,000,000","$105,668,637","$232,182,263","$416,531,107",23.1%,,CalPERS,2026-02-18
"Lindsay Goldberg IV, L.P.",2015,"$136,920,941","$226,389,358","$391,896,909","$448,572,605",28.9%,,CalPERS,2026-02-18
"Patria Brazilian Private Equity Fund V, L.P.",2015,"$150,000,000","$155,136,240","$47,749,770","$232,766,224",8.0%,,CalPERS,2026-02-18
"TCP II Co-Invest B, L.P.",2015,"$50,000,000","$58,367,891","$96,898,326","$97,229,252",10.3%,,CalPERS,2026-02-18
"Welsh, Carson, Anderson & Stowe XII, L.P.",2015,"$350,000,000","$350,162,050","$723,731,408","$886,374,973",25.3%,,CalPERS,2026-02-18
Advent International GPE VIII-B Limited Partnership,2016,"$500,000,000","$500,000,000","$715,683,440","$1,048,079,225",15.8%,,CalPERS,2026-02-18
"Blackstone Capital Partners VII, L.P.",2016,"$375,000,000","$535,429,936","$646,909,666","$961,632,302",15.6%,,CalPERS,2026-02-18
"Carlyle Strategic Partners IV, L.P.",2016,"$150,000,000","$219,267,579","$138,226,783","$247,377,928",4.8%,,CalPERS,2026-02-18
GSO Energy Partners-C II LP,2016,"$250,000,000","$231,707,470","$294,452,737","$301,206,162",8.2%,,CalPERS,2026-02-18
