fund_name,vintage_year,capital_committed,capital_contributed,capital_distributed,nav,tvpi,net_irr,source,reporting_period,scraped_date
"FS Equity Partners VIII, L.P.",2018,100000000.0,30497749.0,1514227.0,25011797.0,0.87,-0.236,Florida SBA,2020-Q2,2025-02-19
"Gores Capital Partners, L.P.",2003,50000000.0,47063636.0,60965147.0,,1.3,0.084,Florida SBA,2020-Q2,2025-02-19
"Gores Capital Partners II, L.P.",2007,50000000.0,45307913.0,51590459.0,,1.14,0.038,Florida SBA,2020-Q2,2025-02-19
"Gores Capital Partners III, L.P.",2009,125000000.0,105124539.0,104839695.0,,1.0,-0.001,Florida SBA,2020-Q2,2025-02-19
"Green Equity Investors III, L.P.",1998,60000000.0,54613145.0,125883576.0,,2.31,0.2189999999999999,Florida SBA,2020-Q2,2025-02-19
"Green Equity Investors IV, L.P.",2002,100000000.0,122786720.0,218999019.0,,1.78,0.107,Florida SBA,2020-Q2,2025-02-19
"Green Equity Investors V, L.P.",2006,100000000.0,101347021.0,196627503.0,,1.94,0.174,Florida SBA,2020-Q2,2025-02-19
"Green Equity Investors VI, L.P.",2011,200000000.0,193567043.0,242730354.0,,1.25,0.123,Florida SBA,2020-Q2,2025-02-19
"Grove Street Partners Buyout, L.P.",2006,150000000.0,150398135.0,220243686.0,22059963.0,1.61,0.102,Florida SBA,2020-Q2,2025-02-19
"Grove Street Partners Buyout II, L.P.",2010,230000000.0,224654077.0,144256362.0,173851356.0,1.42,0.11,Florida SBA,2020-Q2,2025-02-19
"Grove Street Partners Ventures, L.P.",2004,200000000.0,213828809.0,333558289.0,,1.56,0.072,Florida SBA,2020-Q2,2025-02-19
"Grove Street Partners Ventures II, L.P.",2008,200000000.0,218675931.0,374237838.0,274544756.0,2.97,0.21,Florida SBA,2020-Q2,2025-02-19
"Grove Street Partners Ventures III, L.P.",2012,150000000.0,157571990.0,47751745.0,255601382.0,1.93,0.171,Florida SBA,2020-Q2,2025-02-19
"Hahn & Company III L.P.,",2018,50000000.0,11743681.0,981691.0,9861539.0,0.92,,Florida SBA,2020-Q2,2025-02-19
"Hellman & Friedman Capital Partners V, L.P.",2004,75000000.0,67744774.0,185424201.0,,2.74,0.294,Florida SBA,2020-Q2,2025-02-19
"Hellman & Friedman Capital Partners VI, L.P.",2006,100000000.0,97041660.0,173450549.0,,1.79,0.126,Florida SBA,2020-Q2,2025-02-19
"Hellman & Friedman Capital Partners VII, L.P.",2009,200000000.0,191286482.0,286616520.0,269877943.0,2.91,0.241,Florida SBA,2020-Q2,2025-02-19
"Hellman & Friedman Capital Partners VIII, L.P.",2014,200000000.0,202160361.0,19758112.0,241272813.0,1.29,0.133,Florida SBA,2020-Q2,2025-02-19
"Hellman & Friedman Capital Partners IX, L.P.",2018,250000000.0,55301789.0,0.0,52750095.0,0.95,,Florida SBA,2020-Q2,2025-02-19
"Hicks, Muse, Tate & Furst Equity Fund III, L.P.",1996,200000000.0,210258927.0,186304423.0,,0.89,-0.018,Florida SBA,2020-Q2,2025-02-19
"Hicks, Muse, Tate & Furst Equity Fund IV, L.P.",1998,400000000.0,423434828.0,266275496.0,,0.63,-0.088,Florida SBA,2020-Q2,2025-02-19
"Hicks, Muse, Tate & Furst Equity Fund V, L.P.",2000,25000000.0,27231920.0,48289446.0,,1.77,0.21,Florida SBA,2020-Q2,2025-02-19
"Inflexion Buyout Fund IV, L.P.",2014,52587527.0,50287349.0,13143178.0,41746792.0,1.09,0.039,Florida SBA,2020-Q2,2025-02-19
Inflexion Enterprise Fund IV,2016,19982149.0,22689375.0,5774464.0,18450619.0,1.07,0.045,Florida SBA,2020-Q2,2025-02-19
"Inflexion Partnership Capital Fund I, L.P.",2014,26372724.0,25729800.0,12425219.0,18539747.0,1.2,0.095,Florida SBA,2020-Q2,2025-02-19
"Insight Venture Partners Growth-Buyout Coinvestment Fund, L.P.",2014,50000000.0,48000000.0,21496809.0,97900810.0,2.49,0.307,Florida SBA,2020-Q2,2025-02-19
"Insight Venture Partners VIII, L.P.",2013,75000000.0,77847811.0,108310816.0,91434703.0,2.57,0.205,Florida SBA,2020-Q2,2025-02-19
"Insight Venture Partners IX, L.P.",2014,75000000.0,76759181.0,18356096.0,159809982.0,2.32,0.265,Florida SBA,2020-Q2,2025-02-19
