fund_name,vintage_year,capital_committed,capital_contributed,capital_distributed,nav,net_irr,source,scraped_date,reporting_period
"Shasta Ventures III, L.P.",2012,26500000,25705000,34848606,13465987,7.48,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Shasta Ventures V, L.P.",2017,35000000,31500000,12138930,64625674,14.79,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Siris Partners IV, L.P.",2019,100000000,116589154,40587559,112047177,8.00,CalSTRS,2026-02-18,"FYE June 30, 2025"
Sixth Street Cap Solutions (A),2019,100000000,74072012,57800756,51385612,10.49,CalSTRS,2026-02-18,"FYE June 30, 2025"
Sixth Street Growth Partnrs II,2022,150000000,65384002,2621638,76034893,10.50,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Sixth Street Opportunities Partners II, L.P.",2012,35438698,24251956,46273748,188578,18.84,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Sixth Street Opportunities Partners III (A), L.P.",2014,150000000,80522422,102306213,23978492,8.86,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Sixth Street Opportunities Partners IV (A), L.P.",2019,150000000,121569215,72598361,108093763,10.93,CalSTRS,2026-02-18,"FYE June 30, 2025"
Sixth Street Opps Partners V,2022,150000000,121289131,17005555,124865133,9.02,CalSTRS,2026-02-18,"FYE June 30, 2025"
Sixth Street TAO Partners (B) LP,2020,250000000,193513492,16983442,246333589,11.24,CalSTRS,2026-02-18,"FYE June 30, 2025"
Sofinnova Venture Partners IX,2014,50000000,50000000,50558033,22856694,7.25,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Sofinnova Venture Partners VIII, L.P.",2011,30000000,30000000,51928291,,21.89,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Spectrum Equity Investors VI, L.P.",2010,70000000,64944368,176891075,1792124,21.83,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Spectrum Equity IX - A, L.P.",2020,125000000,121250000,13216482,125755640,4.50,CalSTRS,2026-02-18,"FYE June 30, 2025"
