fund_name,vintage_year,capital_committed,capital_contributed,capital_distributed,nav,tvpi,net_irr,source,reporting_period,scraped_date
"Encap Energy Capital Fund IX, L.P.",2013,50000000.0,45196778.0,35267088.0,,1.24,0.0806,Louisiana Teachers,2019-Q4,2025-02-19
Waterton Precious Metals Fund II Cayman LP,2013,50000000.0,26054159.0,6036118.0,,1.66,0.1368,Louisiana Teachers,2019-Q4,2025-02-19
NGP Natural Resources XI LP,2014,50000000.0,42339305.0,12203038.0,,1.16,0.0617,Louisiana Teachers,2019-Q4,2025-02-19
Apollo Natural Resource Partners II LP,2015,75000000.0,47533884.0,24705366.0,,1.16,0.0877,Louisiana Teachers,2019-Q4,2025-02-19
EnCap Energy Capital Fund X LP,2015,65000000.0,55360960.0,9661508.0,,1.2,0.0839,Louisiana Teachers,2019-Q4,2025-02-19
Waterton Mining Parallel Fund Onshore Master LP,2016,25000000.0,9554320.0,2564575.0,,1.4,0.1631,Louisiana Teachers,2019-Q4,2025-02-19
EnCap Energy Capital Fund XI LP,2017,75000000.0,19631265.0,0.0,,0.8,-0.24609999999999999,Louisiana Teachers,2019-Q4,2025-02-19
NGP Natural Resources XII LP,2017,75000000.0,32426468.0,56483.0,,0.98,-0.015600000000000001,Louisiana Teachers,2019-Q4,2025-02-19
JPMCB Strategic Property Fund,2006,300000000.0,300000000.0,75097661.0,,1.84,0.0617,Louisiana Teachers,2019-Q4,2025-02-19
PRISA,2006,300000000.0,339200500.0,252900016.0,,1.51,0.053899999999999997,Louisiana Teachers,2019-Q4,2025-02-19
"MetLife Core Property Fund, LP",2014,200000000.0,243406557.0,54923045.0,,1.55,0.10490000000000001,Louisiana Teachers,2019-Q4,2025-02-19
Cabot Industrial Core Fund II LP,2018,50000000.0,31072500.0,5476660.0,,1.04,0.12619999999999998,Louisiana Teachers,2019-Q4,2025-02-19
"Apollo European Principal Finance Fund, L.P.",2009,39287500.0,69626136.0,100948070.0,,1.38,0.1637,Louisiana Teachers,2019-Q4,2025-02-19
ICG Recovery Fund 2008,2009,34236250.0,53870568.0,69254566.0,,1.29,0.0754,Louisiana Teachers,2019-Q4,2025-02-19
Blackstone Real Estate Special Situation Fd II L.P.,2010,50000000.0,51986537.0,64322478.0,,1.2,0.0892,Louisiana Teachers,2019-Q4,2025-02-19
OHA European Strategic Credit Fund,2011,50000000.0,30998021.0,34611667.0,,1.37,0.0746,Louisiana Teachers,2019-Q4,2025-02-19
