fund_name,vintage_year,capital_committed,capital_contributed,capital_distributed,nav,net_irr,tvpi,source,reporting_period,scraped_date
"Nautic Partners V, L.P.",2000,50000000.0,47361360.25,97941449.67999999,2178215.03,0.16891589034051727,2.1139524747919376,Massachusetts PRIM,2020-Q1,2025-02-19
"New Enterprise Associates 10, L.P.",2000,30000000.0,30000000.0,29148149.025880996,3838716.0,0.01581723645733912,1.0995621675293665,Massachusetts PRIM,2020-Q1,2025-02-19
"New Enterprise Associates 11, L.P.",2004,25000000.0,25000000.0,63385662.930982,2668854.0,0.1554204747832375,2.64218067723928,Massachusetts PRIM,2020-Q1,2025-02-19
"New Enterprise Associates 12, L.P.",2006,50000000.0,49250000.0,64331151.998831004,5324884.0,0.06552719576113744,1.4143357563214416,Massachusetts PRIM,2020-Q1,2025-02-19
"New Enterprise Associates 9, L.P.",1999,20000000.0,19600000.0,8228229.613775,1037726.0,-0.06046067954908861,0.4727528374375,Massachusetts PRIM,2020-Q1,2025-02-19
"New Enterprise Associates VIII, L.P.",1998,15000000.0,15000000.0,23679872.494679,1198937.0,0.30532958702314333,1.6585872996452669,Massachusetts PRIM,2020-Q1,2025-02-19
"New Enterprise Associates VIII-A, L.P.",2001,10000000.0,10000000.0,6933068.528,932009.0,-0.026238619188129298,0.7865077528,Massachusetts PRIM,2020-Q1,2025-02-19
"Nordic Capital CV1 Beta, L.P.",2018,64755471.18085138,72019013.95543435,14078719.535891743,60327503.1061586,0.02145909547595924,1.0331469226736874,Massachusetts PRIM,2020-Q1,2025-02-19
"Nordic Capital Fund IX, L.P.",2018,110913036.17463481,47375630.99554705,,55185744.7110946,0.35980518036546916,1.1648550858622158,Massachusetts PRIM,2020-Q1,2025-02-19
"Nordic Capital Fund VI, L.P.",2006,66902247.7241644,68788936.27100496,104930299.34075385,174213.06855204198,0.06876006281439871,1.5279275724693566,Massachusetts PRIM,2020-Q1,2025-02-19
"Nordic Capital Fund VII, L.P.",2008,133489618.53148061,146551172.53940785,198111037.67700347,685604.422057147,0.054302488309717574,1.3564998399832238,Massachusetts PRIM,2020-Q1,2025-02-19
"Nordic Capital Fund VIII, L.P.",2013,137701953.71491587,152363532.80477867,112103873.79552667,94627148.2340931,0.104782366582126,1.3568274391123594,Massachusetts PRIM,2020-Q1,2025-02-19
"Nordic Capital V, L.P.",2003,52822504.03677183,53307904.611399904,145498021.2664037,359270.02907697903,0.20652009549677408,2.7361287666198963,Massachusetts PRIM,2020-Q1,2025-02-19
PAI Europe V,2007,47836566.472951666,47180571.9853868,79623516.52293023,799182.93806687,0.09176300932026248,1.7045723711426468,Massachusetts PRIM,2020-Q1,2025-02-19
"Permira Europe II, L.P. 2",2000,80742038.75,81334910.91000001,160129029.3756679,439990.099463446,0.2377209860570881,1.97417096396413,Massachusetts PRIM,2020-Q1,2025-02-19
"Permira Europe III, L.P.",2003,111468188.94306935,111676750.64306936,179323663.26575196,232239.150713734,0.2578857457841904,1.6078181123871096,Massachusetts PRIM,2020-Q1,2025-02-19
"Permira IV, L.P.",2006,119858006.47,127538132.26382771,185054291.9503844,15184972.1259181,0.08701318539952065,1.5700344714323078,Massachusetts PRIM,2020-Q1,2025-02-19
"Polaris Growth Fund, L.P.",2018,30000000.0,4200000.0,,3946220.0,-0.06042380953063298,0.9395761904761906,Massachusetts PRIM,2020-Q1,2025-02-19
"Polaris Venture Partners III, L.P.",2000,20000000.0,19894748.819999997,14654818.053988999,324428.0,-0.03284289220318308,0.7529246128973746,Massachusetts PRIM,2020-Q1,2025-02-19
"Polaris Venture Partners IV, L.P.",2002,50000000.0,49750000.0,55564718.463739,4521476.0,0.023303406684254926,1.2077627027887237,Massachusetts PRIM,2020-Q1,2025-02-19
"Polaris Venture Partners V, L.P.",2006,50000000.0,49000000.0,55331159.239999995,29032197.0,0.08136131549404531,1.721701147755102,Massachusetts PRIM,2020-Q1,2025-02-19
"Polaris Venture Partners VI, L.P.",2011,20000000.0,17500000.0,12515238.44,29168343.0,0.18713137603897714,2.3819189394285716,Massachusetts PRIM,2020-Q1,2025-02-19
"Providence Equity Partners IV, L.P.",2001,25000000.0,33229786.0,65878083.00000001,11141.0,0.2385479279817586,1.9828362421593688,Massachusetts PRIM,2020-Q1,2025-02-19
"Providence Equity Partners V, L.P.",2005,70000000.0,72524181.0,86604022.99,939801.0,0.030395656267709945,1.2070984157683904,Massachusetts PRIM,2020-Q1,2025-02-19
"Providence Equity Partners VI, L.P.",2007,125000000.0,144812025.0,155751417.0,27628593.0,0.04565071079453449,1.2663313699259438,Massachusetts PRIM,2020-Q1,2025-02-19
"Providence Equity Partners VII, L.P.",2012,100000000.0,121422233.0,112971193.0,86567929.0,0.1931889164738372,1.6433491385387387,Massachusetts PRIM,2020-Q1,2025-02-19
"Providence Strategic Growth III, L.P.",2018,57500000.0,42383438.0,9987801.0,36757485.0,0.10149728003727976,1.102913973142056,Massachusetts PRIM,2020-Q1,2025-02-19
"Providence Strategic Growth IV, L.P.",2019,100000000.0,9972125.0,3058098.0,5833808.0,-0.14854774058981424,0.8916761472604886,Massachusetts PRIM,2020-Q1,2025-02-19
"Quad-C Partners IX, L.P.",2017,85000000.0,42096428.0,1535912.0,40869990.0,0.004501046535016283,1.0073515501125179,Massachusetts PRIM,2020-Q1,2025-02-19
"Quad-C Partners VII, L.P.",2006,59000000.0,63845704.0,99429073.99999999,112551.0,0.1079997067680388,1.559096677828159,Massachusetts PRIM,2020-Q1,2025-02-19
"Quad-C Partners VIII, L.P.",2012,50000000.0,47526328.99999999,98911454.00000001,11998702.0,0.28925439343904547,2.3336571187730493,Massachusetts PRIM,2020-Q1,2025-02-19
"Quantum Energy Partners VI, L.P.",2014,100000000.0,88924758.89999999,53131796.370000005,74843678.00000001,0.2028361286758045,1.4391433381777772,Massachusetts PRIM,2020-Q1,2025-02-19
"Quantum Energy Partners VII Co-Investment Fund, L.P.",2017,22500000.0,7061232.68,6055.73,3412205.0,-0.3426001598646444,0.4840883858255751,Massachusetts PRIM,2020-Q1,2025-02-19
"Quantum Energy Partners VII, L.P.",2017,150000000.0,78347820.44,5438505.7,52097787.00000001,-0.18575145196801873,0.7343700485460499,Massachusetts PRIM,2020-Q1,2025-02-19
"Quantum Parallel Partners VI-C, L.P.",2015,45000000.0,21134122.13,2752360.67,25238177.0,0.1272277725965385,1.3244239575140566,Massachusetts PRIM,2020-Q1,2025-02-19
"Rembrandt Venture Partners II, L.P.",2010,20000000.0,20908983.06,13934353.1,9007088.0,0.019978816982952348,1.0972050163399962,Massachusetts PRIM,2020-Q1,2025-02-19
