investment_name,"initial_investment
date","capital
committed","paid-in
capital
a",unfunded_commitment,"current
market_value
b","capital
distributed_1
c_","total_value
b+c","total_value
multiple
b+c_a","gain_since
inception
b+c-a","net
irr_2",strategy_type,source,scraped_date,reporting_period
Corporate Finance/Buyout - Large,,,Contributions,Unfunded - Local,Adjusted Market Value,Distributions,,,,,Buyout,WSIB,2026-02-18,ir093024
"Advent International GPE VII-B, L.P.",8/27/2012,"400,000,000","384,020,122","16,000,020","44,295,946","651,657,497","695,953,443",1.8x,"311,933,321",13.23%,Buyout,WSIB,2026-02-18,ir093024
"Affinity Asia Pacific Fund V, L.P.",12/11/2018,"350,000,000","241,879,593","122,406,319","241,671,627","61,025,406","302,697,033",1.3x,"60,817,440",8.98%,Buyout,WSIB,2026-02-18,ir093024
"Apax Europe V-A, L.P.",4/19/2001,"111,912,000","144,302,068",-,-,"303,563,931","303,563,931",2.1x,"159,261,863",36.19%,Buyout,WSIB,2026-02-18,ir093024
"BC European Capital VI, L.P.",8/4/1998,"35,302,451","27,651,447",-,-,"75,534,053","75,534,053",2.7x,"47,882,605",24.02%,Buyout,WSIB,2026-02-18,ir093024
"BC European Capital VII, L.P.",4/25/2000,"108,149,740","108,149,740",-,"662,469","273,769,667","274,432,135",2.5x,"166,282,395",23.73%,Buyout,WSIB,2026-02-18,ir093024
"BC European Capital VIII, L.P.",12/13/2005,"304,206,529","296,253,618","10,547,807","185,360","364,910,708","365,096,068",1.2x,"68,842,450",4.46%,Buyout,WSIB,2026-02-18,ir093024
"Blackstone Capital Partners Asia II, L.P.",11/21/2022,"250,000,000","75,396,304","176,149,058","106,600,658","3,043,800","109,644,458",1.5x,"34,248,154",34.26%,Buyout,WSIB,2026-02-18,ir093024
"Bridgepoint Europe III, L.P.",12/6/2005,"134,939,372","127,746,676","4,468,825","3,840,497","152,285,161","156,125,658",1.2x,"28,378,981",2.40%,Buyout,WSIB,2026-02-18,ir093024
"Bridgepoint Europe IV, L.P.",11/14/2008,"193,979,121","190,616,097","10,122,635","30,909,114","267,032,220","297,941,334",1.6x,"107,325,237",9.33%,Buyout,WSIB,2026-02-18,ir093024
"Bridgepoint Europe IV, L.P. (Secondary Purchase)",2/25/2016,"33,222,296","30,504,348","2,530,659","7,714,994","31,962,985","39,677,979",1.3x,"9,173,631",8.78%,Buyout,WSIB,2026-02-18,ir093024
"Bridgepoint Europe V, L.P.",2/8/2016,"256,992,263","244,784,653","20,853,759","116,242,772","346,769,412","463,012,184",1.9x,"218,227,531",16.39%,Buyout,WSIB,2026-02-18,ir093024
"Bridgepoint Europe VI, L.P.",4/1/2019,"392,600,790","376,444,932","16,155,859","475,308,681","108,317,757","583,626,437",1.6x,"207,181,506",14.70%,Buyout,WSIB,2026-02-18,ir093024
Bridgepoint Europe VII L.P.,1/22/2024,"193,745,414","47,306,655","146,442,962","46,312,116","134,220","46,446,336",1.0x,"(860,318)",(2.65%),Buyout,WSIB,2026-02-18,ir093024
"Charterhouse Capital Partners IX, L.P.",1/7/2009,"273,360,000","252,108,597",-,-,"338,298,618","338,298,618",1.3x,"86,190,022",9.40%,Buyout,WSIB,2026-02-18,ir093024
"Charterhouse Capital Partners VIII, L.P.",7/20/2006,"166,670,000","171,675,494",-,-,"165,037,385","165,037,385",1.0x,"(6,638,109)",(0.63%),Buyout,WSIB,2026-02-18,ir093024
"Cinven Fifth Fund, L.P.",8/28/2012,"228,670,561","258,893,456",-,"58,807,163","375,595,190","434,402,353",1.7x,"175,508,898",17.42%,Buyout,WSIB,2026-02-18,ir093024
Cinven Third Fund,1/11/2002,"128,455,004","135,871,881",-,"730,640","281,718,299","282,448,939",2.1x,"146,577,058",31.90%,Buyout,WSIB,2026-02-18,ir093024
"Clayton, Dubilier & Rice Fund V, L.P.",5/3/1995,"40,000,000","42,472,920",-,-,"49,716,196","49,716,196",1.2x,"7,243,276",2.29%,Buyout,WSIB,2026-02-18,ir093024
"Clayton, Dubilier & Rice Fund VI, L.P.",12/9/1998,"200,000,000","217,312,776",-,"5,621","333,128,532","333,134,153",1.5x,"115,821,377",9.53%,Buyout,WSIB,2026-02-18,ir093024
"Cypress Merchant Banking Partners, LP",9/8/1995,"40,000,000","41,650,938",-,-,"50,600,565","50,600,565",1.2x,"8,949,626",2.65%,Buyout,WSIB,2026-02-18,ir093024
"Doughty Hanson & Co Fund II, L.P.",3/6/1996,"16,517,093","17,228,621",-,-,"36,342,067","36,342,067",2.1x,"19,113,445",48.83%,Buyout,WSIB,2026-02-18,ir093024
"Doughty Hanson & Co III, L.P.",11/3/1997,"100,000,000","106,788,534",-,-,"205,158,080","205,158,080",1.9x,"98,369,546",13.58%,Buyout,WSIB,2026-02-18,ir093024
"First Reserve Fund XIII, L.P.",7/15/2014,"400,000,000","481,365,192","22,117,236","164,307,966","276,303,403","440,611,369",0.9x,"(40,753,823)",(2.37%),Buyout,WSIB,2026-02-18,ir093024
"Fortress Investment Fund IV, L.P.",7/10/2006,"200,000,000","231,945,383","2,625,763","13,247,574","193,200,538","206,448,112",0.9x,"(25,497,271)",(1.42%),Buyout,WSIB,2026-02-18,ir093024
"Fortress Investment Fund IV, L.P. - Co-Investment",7/24/2006,"25,000,000","28,213,679",1,"877,308","20,249,733","21,127,041",0.7x,"(7,086,638)",(3.62%),Buyout,WSIB,2026-02-18,ir093024
"Fortress Investment Fund V, L.P.",7/23/2007,"250,000,000","249,238,623","5,498,709","110,262,723","270,221,311","380,484,034",1.5x,"131,245,411",4.31%,Buyout,WSIB,2026-02-18,ir093024
"Fortress Investment Fund V, L.P. - Co-Investment",7/24/2007,"50,000,000","49,562,848","437,152","11,433,934","15,897,579","27,331,513",0.6x,"(22,231,335)",(4.95%),Buyout,WSIB,2026-02-18,ir093024
"Francisco Partners V, L.P.",5/29/2018,"200,000,000","194,103,594","5,900,000","269,801,711","154,224,494","424,026,205",2.2x,"229,922,611",19.46%,Buyout,WSIB,2026-02-18,ir093024
"Francisco Partners VI, L.P.",1/26/2021,"300,000,000","282,300,688","17,700,000","355,317,710","36,759,395","392,077,105",1.4x,"109,776,417",15.54%,Buyout,WSIB,2026-02-18,ir093024
"GI Partners Fund VI, L.P.",9/29/2021,"300,000,000","217,033,727","82,966,273","265,239,157",-,"265,239,157",1.2x,"48,205,430",9.20%,Buyout,WSIB,2026-02-18,ir093024
"Green Equity Investors V, L.P.",8/10/2007,"205,000,000","221,956,288","10,079,629","762,414","504,268,565","505,030,979",2.3x,"283,074,692",18.15%,Buyout,WSIB,2026-02-18,ir093024
"Green Equity Investors VI, L.P.",11/30/2012,"300,000,000","354,366,468","6,187,882","309,580,718","423,480,981","733,061,699",2.1x,"378,695,231",13.59%,Buyout,WSIB,2026-02-18,ir093024
"GTCR Fund XII, L.P.",5/4/2018,"400,000,000","411,461,794","60,614,756","503,851,990","253,323,212","757,175,202",1.8x,"345,713,408",21.56%,Buyout,WSIB,2026-02-18,ir093024
"GTCR Fund XIII, L.P.",9/7/2021,"535,000,000","392,826,425","142,173,575","460,030,640","59,451,914","519,482,554",1.3x,"126,656,129",19.19%,Buyout,WSIB,2026-02-18,ir093024
GTCR Fund XIV LP,10/23/2024,"650,000,000",-,"650,000,000","6,854,579",-,"6,854,579",N/A,"6,854,579",N/A,Buyout,WSIB,2026-02-18,ir093024
"Hellman & Friedman Capital Partners V, L.P.",12/10/2004,"75,000,000","68,924,749",-,-,"183,287,452","183,287,452",2.7x,"114,362,703",27.91%,Buyout,WSIB,2026-02-18,ir093024
"KKR Asian Fund II, L.P.",10/4/2013,"400,000,000","535,141,573",-,"169,409,476","436,291,814","605,701,290",1.1x,"70,559,717",3.18%,Buyout,WSIB,2026-02-18,ir093024
"KKR E2 Investors, L.P.",10/2/2009,"39,570,693","41,266,032",-,-,"37,745,153","37,745,153",0.9x,"(3,520,879)",(2.87%),Buyout,WSIB,2026-02-18,ir093024
"KKR European Fund II, L.P.",11/29/2005,"500,000,000","605,459,979",-,-,"794,827,901","794,827,901",1.3x,"189,367,922",4.78%,Buyout,WSIB,2026-02-18,ir093024
"KKR European Fund III, L.P. - USD",3/17/2008,"660,429,307","699,063,731","100,226,479","7,203,513","1,087,389,381","1,094,592,894",1.6x,"395,529,163",11.00%,Buyout,WSIB,2026-02-18,ir093024
"KKR European Fund V, L.P. - USD",1/15/2020,"300,000,000","285,291,402","33,115,141","328,020,505","65,385,135","393,405,640",1.4x,"108,114,238",11.45%,Buyout,WSIB,2026-02-18,ir093024
KKR European Fund VI (USD) SCSp,5/30/2023,"300,000,000","76,359,073","231,768,968","40,273,195",876,"40,274,071",0.5x,"(36,085,002)",(44.24%),Buyout,WSIB,2026-02-18,ir093024
"KKR European Fund, L.P.",11/4/1999,"400,000,000","532,871,266",-,-,"1,094,978,319","1,094,978,319",2.1x,"562,107,053",19.73%,Buyout,WSIB,2026-02-18,ir093024
"Madison Dearborn Capital Partners III, L.P.",4/6/1999,"109,900,000","116,707,693",-,-,"174,315,070","174,315,070",1.5x,"57,607,377",8.57%,Buyout,WSIB,2026-02-18,ir093024
"Madison Dearborn Capital Partners IV, L.P.",12/4/2000,"300,000,000","364,395,330",-,-,"638,627,317","638,627,317",1.8x,"274,231,987",13.91%,Buyout,WSIB,2026-02-18,ir093024
"Madison Dearborn Capital Partners V, L.P.",7/31/2006,"175,000,000","203,394,521","2,686,108","416,273","315,748,553","316,164,826",1.6x,"112,770,305",7.48%,Buyout,WSIB,2026-02-18,ir093024
"Madison Dearborn Capital Partners VI, L.P.",5/27/2008,"150,000,000","173,190,957","35,050,449","186,192","373,908,457","374,094,649",2.2x,"200,903,692",23.17%,Buyout,WSIB,2026-02-18,ir093024
"Madison Dearborn Capital Partners VIII, L.P.",11/20/2020,"250,000,000","245,437,897","51,144,370","225,276,948","79,399,893","304,676,841",1.2x,"59,238,944",11.81%,Buyout,WSIB,2026-02-18,ir093024
"New Mountain Partners V, L.P.",11/29/2017,"200,000,000","203,627,703","18,381,770","196,953,592","294,284,809","491,238,401",2.4x,"287,610,698",27.19%,Buyout,WSIB,2026-02-18,ir093024
"Nordic Capital CV1 Beta, L.P.",4/18/2018,"200,745,229","226,723,789",-,"382,750","339,929,449","340,312,199",1.5x,"113,588,410",12.63%,Buyout,WSIB,2026-02-18,ir093024
"Nordic Capital Fund IX, L.P.",3/26/2019,"341,639,883","372,982,141","143,352,073","473,019,055","174,694,331","647,713,386",1.7x,"274,731,245",17.33%,Buyout,WSIB,2026-02-18,ir093024
"Nordic Capital Fund VII, L.P.",4/14/2008,"403,482,158","467,396,815",-,-,"617,110,680","617,110,680",1.3x,"149,713,866",5.18%,Buyout,WSIB,2026-02-18,ir093024
"Nordic Capital Fund VIII, L.P.",6/7/2013,"397,351,392","493,222,183","27,636,932","114,812,190","642,339,456","757,151,646",1.5x,"263,929,463",11.98%,Buyout,WSIB,2026-02-18,ir093024
"Nordic Capital Fund X, L.P.",5/19/2021,"409,810,018","374,622,186","76,004,185","476,692,746","40,816,353","517,509,099",1.4x,"142,886,913",17.82%,Buyout,WSIB,2026-02-18,ir093024
"Nordic Capital Fund XI, L.P.",9/15/2023,"297,651,603","97,181,453","200,628,640","100,208,791","158,490","100,367,281",1.0x,"3,185,828",5.71%,Buyout,WSIB,2026-02-18,ir093024
"PAG Asia II, L.P.",5/5/2016,"150,000,000","146,907,900","10,069,841","180,191,818","87,464,235","267,656,053",1.8x,"120,748,153",11.96%,Buyout,WSIB,2026-02-18,ir093024
"PAG Asia III, L.P.",9/27/2019,"350,000,000","325,796,446","47,043,923","358,962,069","63,242,873","422,204,942",1.3x,"96,408,496",9.26%,Buyout,WSIB,2026-02-18,ir093024
PAI Europe VII,9/25/2019,"166,608,665","146,561,973","20,662,961","197,625,990","31,165,266","228,791,255",1.6x,"82,229,282",15.57%,Buyout,WSIB,2026-02-18,ir093024
"PAI Europe VIII, L.P.",7/18/2023,"193,936,516","74,968,822","118,967,695","75,946,381",-,"75,946,381",1.0x,"977,559",4.66%,Buyout,WSIB,2026-02-18,ir093024
"Permira V, L.P.",6/12/2014,"378,061,693","386,434,790","10,023,521","221,707,559","861,979,955","1,083,687,514",2.8x,"697,252,724",21.01%,Buyout,WSIB,2026-02-18,ir093024
"Providence Equity Partners VII, L.P.",5/9/2012,"300,000,000","473,890,637","19,833,951","156,161,797","785,447,437","941,609,234",2.0x,"467,718,597",21.02%,Buyout,WSIB,2026-02-18,ir093024
"Providence Equity Partners VIII, L.P.",7/17/2019,"400,000,000","442,223,947","64,120,173","522,601,049","126,217,181","648,818,230",1.5x,"206,594,283",14.57%,Buyout,WSIB,2026-02-18,ir093024
PSG VI L.P.,N/A,"200,000,000",-,"200,000,000","(4,412,486)",-,"(4,412,486)",N/A,"(4,412,486)",N/A,Buyout,WSIB,2026-02-18,ir093024
"Searchlight Capital Partners III, L.P.",2/10/2020,"300,000,000","298,359,075","65,630,267","346,197,262","132,806,836","479,004,098",1.6x,"180,645,023",24.49%,Buyout,WSIB,2026-02-18,ir093024
"Thoma Bravo Discover Fund III, L.P.",6/11/2021,"100,000,000","100,682,380","3,896,786","129,368,189","4,579,166","133,947,355",1.3x,"33,264,975",10.62%,Buyout,WSIB,2026-02-18,ir093024
"Towerbrook Investors IV, L.P.",10/1/2013,"200,000,000","167,144,544","70,078,278","113,081,266","232,115,333","345,196,599",2.1x,"178,052,055",17.90%,Buyout,WSIB,2026-02-18,ir093024
"Towerbrook Investors V, L.P.",3/6/2020,"450,000,000","461,753,168","44,811,971","569,281,103","91,803,642","661,084,745",1.4x,"199,331,577",15.69%,Buyout,WSIB,2026-02-18,ir093024
"TowerBrook Investors VI, L.P.",7/3/2023,"450,000,000","213,728,973","236,271,027","226,883,416",-,"226,883,416",1.1x,"13,154,443",8.51%,Buyout,WSIB,2026-02-18,ir093024
"TPG Partners III, L.P.",2/10/2000,"82,000,000","78,665,863",-,-,"191,042,152","191,042,152",2.4x,"112,376,289",24.50%,Buyout,WSIB,2026-02-18,ir093024
"TPG Partners IV, L.P.",12/9/2003,"175,000,000","195,380,953","12,903,817","190,134","372,549,634","372,739,768",1.9x,"177,358,815",15.24%,Buyout,WSIB,2026-02-18,ir093024
TPG Asia VIII,9/1/2023,"150,000,000","44,111,535","106,002,484","49,786,425","385,539","50,171,964",1.1x,"6,060,429",16.87%,Buyout,WSIB,2026-02-18,ir093024
"TPG Rise Climate II, L.P.",1/10/2025,"400,000,000",-,"400,000,000",-,-,-,N/A,-,N/A,Buyout,WSIB,2026-02-18,ir093024
"Trident IX, L.P.",6/24/2022,"300,000,000","216,540,733","88,746,405","261,787,723","5,287,138","267,074,861",1.2x,"50,534,128",17.75%,Buyout,WSIB,2026-02-18,ir093024
"Trident VII, L.P.",10/30/2017,"250,000,000","304,267,882","14,179,640","387,917,482","253,446,266","641,363,748",2.1x,"337,095,866",18.97%,Buyout,WSIB,2026-02-18,ir093024
"Trident VIII, L.P.",4/8/2020,"300,000,000","293,079,263","34,440,173","392,610,337","53,584,733","446,195,070",1.5x,"153,115,806",13.86%,Buyout,WSIB,2026-02-18,ir093024
"Triton Fund V, L.P.",10/18/2019,"289,408,796","239,973,412",-,-,"301,753,526","301,753,526",1.3x,"61,780,114",9.69%,Buyout,WSIB,2026-02-18,ir093024
"Vestar Capital Partners IV, L.P.",12/15/1999,"55,000,000","54,378,974",-,-,"95,903,127","95,903,127",1.8x,"41,524,153",13.44%,Buyout,WSIB,2026-02-18,ir093024
"Vestar Capital Partners V, L.P.",12/19/2005,"100,000,000","101,173,368",-,-,"133,628,337","133,628,337",1.3x,"32,454,969",3.88%,Buyout,WSIB,2026-02-18,ir093024
"Welsh, Carson, Anderson & Stowe IX, L.P.",7/10/2000,"300,000,000","297,000,000",-,-,"493,604,200","493,604,200",1.7x,"196,604,200",11.19%,Buyout,WSIB,2026-02-18,ir093024
"Welsh, Carson, Anderson & Stowe VII, LP",12/21/1995,"40,000,000","40,000,000",-,-,"87,022,629","87,022,629",2.2x,"47,022,629",17.70%,Buyout,WSIB,2026-02-18,ir093024
"Welsh, Carson, Anderson & Stowe VIII, L.P.",7/24/1998,"150,000,000","150,000,000",-,-,"193,225,290","193,225,290",1.3x,"43,225,290",3.12%,Buyout,WSIB,2026-02-18,ir093024
Investment Name,"Initial Investment
Date","Capital
Committed","Paid-In
Capital
(A)",Unfunded Commitment,"Current
Market Value
(B)","Capital
Distributed (1)
(C )","Total Value
(B+C)","Total Value
Multiple
(B+C)/A","Gain Since
Inception
(B+C)-A","Net
IRR (2)",Buyout,WSIB,2026-02-18,ir093024
Corporate Finance/Buyout - Mega,,,,,,,,,,,Buyout,WSIB,2026-02-18,ir093024
"Advent International GPE IX, L.P.",10/21/2019,"600,000,000","561,038,401","38,961,599","800,585,663","110,968,709","911,554,372",1.6x,"350,515,971",16.77%,Buyout,WSIB,2026-02-18,ir093024
"Advent International GPE VIII-B, L.P.",9/26/2016,"500,000,000","500,000,000",-,"446,435,956","601,650,769","1,048,086,725",2.1x,"548,086,725",16.63%,Buyout,WSIB,2026-02-18,ir093024
Advent International GPE X Limited Partnership,9/26/2022,"600,000,000","280,568,076","319,431,924","347,653,936",-,"347,653,936",1.2x,"67,085,860",21.56%,Buyout,WSIB,2026-02-18,ir093024
"Apax Europe VII-A, L.P.",6/25/2007,"159,294,481","178,298,745","1,529,309","1,784,029","218,907,094","220,691,123",1.2x,"42,392,379",4.31%,Buyout,WSIB,2026-02-18,ir093024
"Apax IX USD, L.P.",5/12/2017,"250,000,000","266,160,564","26,662,393","182,319,082","332,827,505","515,146,587",1.9x,"248,986,023",18.84%,Buyout,WSIB,2026-02-18,ir093024
Apax VIII,12/17/2012,"254,916,765","317,263,057","10,624,670","25,071,121","479,465,097","504,536,218",1.6x,"187,273,160",12.99%,Buyout,WSIB,2026-02-18,ir093024
"Apax X, L.P.",11/11/2020,"350,000,000","339,156,053","63,421,959","387,294,122","45,684,119","432,978,241",1.3x,"93,822,187",11.44%,Buyout,WSIB,2026-02-18,ir093024
"Apax XI, L.P.",1/5/2024,"300,000,000","28,589,072","271,410,928","31,139,175",-,"31,139,175",1.1x,"2,550,103",32.61%,Buyout,WSIB,2026-02-18,ir093024
"BC European Capital IX, L.P.",9/19/2011,"226,526,550","262,199,375","3,510,123","77,340,604","328,852,833","406,193,437",1.5x,"143,994,062",9.84%,Buyout,WSIB,2026-02-18,ir093024
"Blackstone Capital Partners V, L.P.",4/13/2006,"400,000,000","429,903,039","20,624,497","2,221,325","719,041,971","721,263,296",1.7x,"291,360,257",8.81%,Buyout,WSIB,2026-02-18,ir093024
"Blackstone Capital Partners VI, L.P.",1/24/2011,"300,000,000","325,640,129","32,926,548","71,593,909","516,281,628","587,875,537",1.8x,"262,235,408",12.22%,Buyout,WSIB,2026-02-18,ir093024
"Blackstone Capital Partners VII, L.P.",5/31/2016,"450,000,000","478,271,053","32,214,469","396,254,709","399,962,002","796,216,711",1.7x,"317,945,657",13.03%,Buyout,WSIB,2026-02-18,ir093024
"Blackstone Capital Partners VIII, L.P.",2/22/2021,"750,000,000","611,576,333","202,712,267","701,837,012","64,288,600","766,125,612",1.3x,"154,549,279",11.44%,Buyout,WSIB,2026-02-18,ir093024
"Carlyle Partners VII, L.P.",12/19/2018,"600,000,000","626,916,773","25,053,356","746,030,884","102,600,897","848,631,781",1.4x,"221,715,008",8.04%,Buyout,WSIB,2026-02-18,ir093024
"Carlyle Partners VIII, L.P.",7/7/2022,"300,000,000","163,763,789","150,531,763","168,807,341","14,174,146","182,981,487",1.1x,"19,217,698",9.15%,Buyout,WSIB,2026-02-18,ir093024
Cinven Fourth Fund,1/22/2007,"167,605,199","171,890,372",-,"104,268","250,488,215","250,592,483",1.5x,"78,702,111",7.48%,Buyout,WSIB,2026-02-18,ir093024
Cinven Seventh Fund,4/7/2020,"334,437,034","320,432,464","14,004,570","412,021,794",-,"412,021,794",1.3x,"91,589,330",10.95%,Buyout,WSIB,2026-02-18,ir093024
Cinven Sixth Fund,5/24/2017,"286,061,744","291,464,202","23,975,859","242,139,983","324,530,402","566,670,385",1.9x,"275,206,183",17.53%,Buyout,WSIB,2026-02-18,ir093024
"First Reserve Fund XI, L.P.",12/14/2006,"300,000,000","341,787,301",-,-,"234,211,433","234,211,433",0.7x,"(107,575,868)",(9.45%),Buyout,WSIB,2026-02-18,ir093024
"First Reserve Fund XII, L.P.",8/25/2008,"400,000,000","460,931,914",-,"235,075","249,013,942","249,249,017",0.5x,"(211,682,897)",(17.86%),Buyout,WSIB,2026-02-18,ir093024
"Francisco Partners VII, L.P.",11/8/2023,"300,000,000","21,150,000","278,850,000","18,765,740",-,"18,765,740",0.9x,"(2,384,260)",(36.16%),Buyout,WSIB,2026-02-18,ir093024
"Green Equity Investors VII, L.P.",5/12/2017,"350,000,000","385,668,989","50,276,078","246,502,305","535,259,137","781,761,442",2.0x,"396,092,453",19.51%,Buyout,WSIB,2026-02-18,ir093024
"Green Equity Investors VIII, L.P.",10/21/2020,"400,000,000","378,173,460","52,554,960","491,091,067","30,728,420","521,819,487",1.4x,"143,646,027",11.73%,Buyout,WSIB,2026-02-18,ir093024
"Green Equity Investors IX, L.P.",8/15/2023,"325,000,000","96,776,401","231,691,451","107,807,861","3,467,852","111,275,713",1.1x,"14,499,312",32.07%,Buyout,WSIB,2026-02-18,ir093024
"Hellman & Friedman Capital Partners IX, L.P.",4/7/2020,"750,000,000","769,808,443","49,776,321","1,108,972,391","92,977,925","1,201,950,316",1.6x,"432,141,873",13.44%,Buyout,WSIB,2026-02-18,ir093024
"Hellman & Friedman Capital Partners VI, L.P.",6/5/2007,"275,000,000","291,526,665",-,-,"524,587,145","524,587,145",1.8x,"233,060,480",12.92%,Buyout,WSIB,2026-02-18,ir093024
"Hellman & Friedman Capital Partners VII, L.P.",8/11/2011,"400,000,000","382,582,896","17,286,462","35,778,638","1,261,618,418","1,297,397,056",3.4x,"914,814,160",24.64%,Buyout,WSIB,2026-02-18,ir093024
"Hellman & Friedman Capital Partners VIII, L.P.",9/1/2016,"600,000,000","620,680,252","33,530,917","684,190,125","402,144,044","1,086,334,169",1.8x,"465,653,917",11.74%,Buyout,WSIB,2026-02-18,ir093024
"Hellman & Friedman Capital Partners X, L.P.",11/24/2021,"1,000,000,000","769,150,159","278,518,097","866,785,215","69,244,156","936,029,371",1.2x,"166,879,212",8.93%,Buyout,WSIB,2026-02-18,ir093024
"Hellman & Friedman Capital Partners XI, L.P.",N/A,"750,000,000",-,"750,000,000",-,-,-,N/A,-,N/A,Buyout,WSIB,2026-02-18,ir093024
"KKR 1982 Fund, L.P.",2/17/1983,"12,990,000","13,305,000",-,-,"39,359,498","39,359,498",3.0x,"26,054,498",36.55%,Buyout,WSIB,2026-02-18,ir093024
"KKR 1984 Fund, L.P.",8/30/1984,"127,099,299","130,233,549",-,-,"576,002,374","576,002,374",4.4x,"445,768,825",29.19%,Buyout,WSIB,2026-02-18,ir093024
KKR 1986 Fund,4/17/1986,"84,354,306","173,980,206",-,-,"952,917,260","952,917,260",5.5x,"778,937,054",28.01%,Buyout,WSIB,2026-02-18,ir093024
KKR 1987 Fund,11/23/1987,"626,070,509","1,079,418,737",-,-,"1,787,757,611","1,787,757,611",1.7x,"708,338,874",8.62%,Buyout,WSIB,2026-02-18,ir093024
KKR 1993 Fund,12/20/1993,"350,000,000","434,224,667",-,-,"718,586,752","718,586,752",1.7x,"284,362,085",16.67%,Buyout,WSIB,2026-02-18,ir093024
"KKR 1996 Fund, LP",2/26/1997,"850,650,000","1,136,927,513",-,-,"1,838,838,285","1,838,838,285",1.6x,"701,910,772",13.20%,Buyout,WSIB,2026-02-18,ir093024
"KKR 2006 Fund, L.P.",9/27/2006,"1,500,000,000","1,779,648,175",-,-,"3,118,937,939","3,118,937,939",1.8x,"1,339,289,764",9.42%,Buyout,WSIB,2026-02-18,ir093024
"KKR Americas Fund XII, L.P.",10/31/2017,"750,000,000","725,184,510","80,109,603","982,326,187","550,848,372","1,533,174,559",2.1x,"807,990,049",20.70%,Buyout,WSIB,2026-02-18,ir093024
